,Unnamed: 0,City,Candidate (HTML),Status,Reason,Ordre,Libellé de la liste,Code nuance de liste,Numéro de panneau,Code circonscription,Code département,Libellé département,Code commune,Libellé commune,% Voix/exprimés,Libellé de liste,Code commune str,% Voix/exprimés str,population,latitude_centre,longitude_centre,dep_nom,reg_nom,nom_standard,superficie_km2,densite
21,21,Auxerre,Rémi Prou-Méline,Found,Match successful.,9.0,POUR AUXERRE,LUG,2.0,89024,89.0,Yonne,89024.0,Auxerre,"19,97%",POUR AUXERRE,89024,19.97,34778.0,47.794,3.582,Yonne,Bourgogne-Franche-Comté,Auxerre,50.0,698.0
22,22,Avignon,Benoît Belvalette,Found,Match successful.,9.0,Ensemble et solidaires,LSOC,4.0,84007,84.0,Vaucluse,84007.0,Avignon,"19,89%",Ensemble et solidaires,84007,19.89,90330.0,43.935,4.841,Vaucluse,Provence-Alpes-Côte d'Azur,Avignon,65.0,1392.0
23,23,Avignon,Maurine Monard,Found,Match successful.,22.0,Ensemble et solidaires,LSOC,4.0,84007,84.0,Vaucluse,84007.0,Avignon,"19,89%",Ensemble et solidaires,84007,19.89,90330.0,43.935,4.841,Vaucluse,Provence-Alpes-Côte d'Azur,Avignon,65.0,1392.0
24,24,Bagnolet,Alexandre PANTELIC,Found,Match successful.,35.0,BAGNOLET FIERE ET SOLIDAIRE,LUG,1.0,93006,93.0,Seine-Saint-Denis,93006.0,Bagnolet,"37,65%",BAGNOLET FIERE ET SOLIDAIRE,93006,37.65,39366.0,48.869,2.423,Seine-Saint-Denis,Île-de-France,Bagnolet,3.0,15318.0
25,25,Bagnolet,Joëlle GARRUS,Found,Match successful.,38.0,BAGNOLET FIERE ET SOLIDAIRE,LUG,1.0,93006,93.0,Seine-Saint-Denis,93006.0,Bagnolet,"37,65%",BAGNOLET FIERE ET SOLIDAIRE,93006,37.65,39366.0,48.869,2.423,Seine-Saint-Denis,Île-de-France,Bagnolet,3.0,15318.0
26,26,Bayonne,Julie Bensoussan,Found,Match successful.,6.0,BAYONNE EN MOUVEMENT-BAIONA MUGIMENDUAN,LUG,3.0,64102,64.0,Pyrénées-Atlantiques,64102.0,Bayonne,"21,99%",BAYONNE EN MOUVEMENT-BAIONA MUGIMENDUAN,64102,21.99,52749.0,43.492,-1.466,Pyrénées-Atlantiques,Nouvelle-Aquitaine,Bayonne,26.0,2041.0
27,27,Bayonne,Thibaut Pathias,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
28,28,Besançon,Frédérique Baehr,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
29,29,Besançon,Gilles Vieille-Marchiset,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
30,30,Béziers,Evelyne Coulouma,Found,Match successful.,4.0,Le Printemps de Béziers,LUG,3.0,34032,34.0,Hérault,34032.0,Béziers,"6,52%",Le Printemps de Béziers,34032,6.52,80341.0,43.348,3.231,Hérault,Occitanie,Béziers,96.0,840.0
31,31,Béziers,Chantal Lapuerta,Found,Match successful.,10.0,Le Printemps de Béziers,LUG,3.0,34032,34.0,Hérault,34032.0,Béziers,"6,52%",Le Printemps de Béziers,34032,6.52,80341.0,43.348,3.231,Hérault,Occitanie,Béziers,96.0,840.0
32,32,Blois,Agnès Verlinde,Found,Match successful.,14.0,PRENONS SOIN DE L'AVENIR,LUG,3.0,41018,41.0,Loir-et-Cher,41018.0,Blois,"33,65%",PRENONS SOIN DE L'AVENIR,41018,33.65,46813.0,47.582,1.306,Loir-et-Cher,Centre-Val de Loire,Blois,38.0,1248.0
33,33,Blois,Christophe Dioux,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
34,34,Bordeaux,Mahmoud Mouche,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
35,35,Bordeaux,Julia Mouzon,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
36,36,Bordeaux Métropole,Marie-Laure Cuvelier,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
37,37,Bordeaux Métropole,Antoine Revers,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
38,38,Boulogne-Billancourt,Sara Rosenberg,Found,Match successful.,7.0,Boulogne-Billancourt Nous Rassemble,LSOC,4.0,92012,92.0,Hauts-de-Seine,92012.0,Boulogne-Billancourt,"9,03%",Boulogne-Billancourt Nous Rassemble,92012,9.03,119808.0,48.837,2.239,Hauts-de-Seine,Île-de-France,Boulogne-Billancourt,6.0,19481.0
39,39,Boulogne-Billancourt,François Thellier,Found,Match successful.,18.0,Boulogne-Billancourt Nous Rassemble,LSOC,4.0,92012,92.0,Hauts-de-Seine,92012.0,Boulogne-Billancourt,"9,03%",Boulogne-Billancourt Nous Rassemble,92012,9.03,119808.0,48.837,2.239,Hauts-de-Seine,Île-de-France,Boulogne-Billancourt,6.0,19481.0
40,40,Boulogne-Billancourt,Patricia DEBROCK,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
