Quantity;latitude;Longitude;Date
6789;-63.223333;-59.525;08/05/2018
23555;-63.621667;-59.375;04/04/2018
18686;-60.97;-56.119444;07/01/2019
43936;-62.918333;-59.713333;07/06/2012
16937;-63.402778;-61.475;04/07/2019
15942;-62.558333;-61.105;18/05/2012
24075;-61.413333;-58.043333;01/01/2021
17660;-61.38;-57.741667;19/01/2021
16956;-63.533333;-60.366667;06/05/2014
12173;-63.023333;-57.791667;01/05/2020
17933;-62.953333;-57.86;03/05/2020
19350;-61.55;-61.55;30/01/2014
32559;-63.006667;-57.341667;13/06/2022
6960;-63.016667;-63.05;04/01/2014
19815;-63.281667;-58.921667;29/04/2022
777;-61.503056;-57.888333;25/01/2013
12041;-63.613333;-59.533333;24/03/2013
7511;-63.898333;-60.588333;20/04/2021
25803;-63.453056;-59.165;07/06/2018
18090;-63.638333;-61.796667;28/06/2019
12355;-64.323333;-61.43;12/05/2012
25532;-63.51;-61.083333;24/06/2019
29355;-63.048333;-58.013333;23/04/2019
27948;-62.986111;-59.626667;20/04/2019
12562;-63.508333;-60.401667;24/06/2022
22644.2;-63.766667;-60.116667;14/05/2013
4840;-61.728056;-58.508333;10/01/2013
13854;-63.035;-58.498333;08/05/2021
2116;-63.983333;-60.875;30/04/2021
21995;-63.621667;-59.396667;06/04/2018
22428;-63.455;-59.156667;09/06/2018
7756;-62.966667;-58.805;23/05/2018
14596;-64.286111;-61.378333;20/04/2012
9989;-62.602778;-61.597222;22/04/2012
15585;-63.444722;-61.576667;01/07/2019
28857;-62.983333;-60.036111;12/06/2019
13830;-63.005556;-59.230556;09/04/2012
25268;-63.075;-60.206667;10/06/2019
27064;-63.025;-57.926667;22/04/2019
31874;-63.173333;-58.663333;11/05/2019
6394;-63.433333;-60.533333;28/04/2014
2078;-63.4;-59.966667;30/04/2014
27383;-63.04;-58.405;17/05/2020
3184;-62.533333;-62.516667;16/02/2014
13808;-61.6;-61.5;22/01/2014
18294;-63.268333;-59.393333;29/05/2022
24147;-64.116667;-61.166667;01/04/2014
20313;-61.64;-58.075;23/01/2013
