,year,dcmlLtt,dcmlLng
675,1938,-54.76670000000001,47.7833
676,1938,-54.76670000000001,47.7833
677,1938,-55.166700000000006,46.4167
678,1938,-55.666700000000006,45.1833
679,1938,-56.7,52.4333
680,1938,-56.7,52.4333
681,1938,-55.633300000000006,49.7167
682,1938,-58.3833,57.1833
683,1938,-57.9833,56.0
684,1938,-60.2,62.666700000000006
685,1938,-59.65,61.05
686,1938,-63.4833,115.45
687,1938,-63.4833,115.45
688,1938,-64.85,117.4
689,1938,-64.68329999999999,116.1167
690,1938,-64.75,115.2667
691,1938,-63.55,121.7
692,1938,-63.55,121.7
693,1938,-64.0667,120.55
694,1938,-64.3667,119.3833
695,1938,-62.1,127.1
696,1938,-62.1,127.1
697,1938,-62.1,127.1
698,1938,-62.5167,125.5167
699,1938,-62.9,124.1
700,1938,-62.3167,132.0333
701,1938,-61.7833,130.9333
702,1938,-61.3167,129.9667
703,1938,-64.9,137.45000000000002
704,1938,-64.9,137.45000000000002
705,1938,-64.13329999999999,135.8
706,1938,-63.4833,134.4333
707,1938,-66.2333,139.7667
708,1938,-65.88329999999999,139.6667
709,1938,-65.3,139.1833
710,1938,-64.1,145.35000000000002
711,1938,-64.4,143.2833
712,1938,-64.75,141.4833
713,1938,-62.73330000000001,151.8
714,1938,-63.1167,150.35000000000002
715,1938,-63.5333,148.71669999999995
716,1938,-65.55,155.88330000000002
717,1938,-65.55,155.88330000000002
718,1938,-64.7333,154.6667
719,1938,-64.0667,153.71669999999995
720,1938,-66.5,160.2833
721,1938,-66.5,160.2833
722,1938,-66.88329999999999,159.15
723,1938,-66.9333,158.0
724,1938,-67.16669999999999,163.4667
725,1938,-67.16669999999999,163.4667
726,1938,-66.4167,162.0
727,1938,-65.8,162.3
728,1938,-65.8,162.3
729,1938,-62.5167,162.9667
730,1938,-63.23330000000001,162.5667
731,1938,-64.13329999999999,162.25
732,1938,-64.85,-166.5833
733,1938,-67.3333,-165.11669999999998
734,1938,-67.3333,-165.11669999999998
735,1938,-65.9333,-166.15
736,1938,-68.14999999999999,-161.3333
737,1938,-68.4333,-163.3167
738,1938,-67.16669999999999,-156.1833
739,1938,-67.6,-156.71669999999995
740,1938,-67.5667,-158.7833
741,1938,-65.38329999999999,-149.5833
742,1938,-65.88329999999999,-151.1667
743,1938,-66.3667,-152.7333
744,1938,-63.6833,-144.4333
745,1938,-63.6833,-144.4333
746,1938,-63.6833,-144.4333
747,1938,-64.0667,-145.6333
748,1938,-64.5833,-147.1833
749,1938,-65.64999999999999,-139.2833
750,1938,-65.64999999999999,-139.2833
751,1938,-65.64999999999999,-139.2833
752,1938,-65.1,-140.6
753,1938,-64.5333,-142.0333
754,1938,-66.9833,-135.55
755,1938,-66.5,-137.1
756,1938,-69.0,-130.4167
757,1938,-68.5167,-131.71669999999995
758,1938,-68.0667,-132.8667
759,1938,-69.95,-125.55
760,1938,-69.95,-126.5833
761,1938,-69.45,-128.1333
762,1938,-68.5,-121.3833
763,1938,-68.9,-122.55
764,1938,-69.2833,-123.7333
765,1938,-67.68329999999999,-119.1667
766,1938,-67.9333,-119.7333
767,1938,-66.4333,-115.7167
768,1938,-66.8333,-116.85
769,1938,-67.3,-118.2333
770,1938,-63.4333,-66.9667
771,1938,-63.5667,-67.45
772,1938,-61.3167,-65.4
773,1938,-58.3,-62.7167
774,1938,-59.7167,-64.2
775,1938,-57.5833,-51.1
776,1938,-59.9667,-48.4667
777,1938,-59.9667,-48.4667
778,1938,-59.9667,-48.4667
779,1938,-59.9667,-48.4667
780,1938,-59.9667,-48.4667
781,1938,-58.73330000000001,-49.8
782,1938,-61.166700000000006,-43.26670000000001
783,1938,-61.166700000000006,-43.26670000000001
784,1938,-62.349999999999994,-45.0833
785,1938,-58.55,-39.9167
786,1938,-58.55,-39.9167
787,1938,-59.8833,-41.0667
788,1938,-55.9333,-36.7167
789,1938,-57.23330000000001,-38.23330000000001
790,1939,-56.5,19.85
791,1939,-55.73330000000001,19.6833
792,1939,-55.133300000000006,18.566699999999997
793,1939,-51.1833,2.8167
794,1939,-52.6833,2.75
795,1939,-52.6833,2.75
796,1939,-54.95,3.5167
797,1939,-57.2,3.5667
798,1939,-57.75,3.5333
799,1939,-59.3833,3.3833
800,1939,-60.7,3.2333
801,1939,-62.0333,3.05
802,1939,-63.4167,2.75
803,1939,-64.9833,2.3667
804,1939,-66.4,2.2667
